INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (1,246,'7/16/2020',1,'11:57:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (2,232,'7/28/2020',2,'20:52:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (3,168,'8/5/2020',3,'03:16:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (4,139,'8/10/2020',4,'21:36:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (5,358,'8/28/2020',5,'13:5:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (6,156,'11/2/2020',6,'02:34:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (7,325,'11/6/2020',7,'16:19:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (8,389,'1/1/2021',8,'02:6:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (9,16,'1/5/2021',9,'01:57:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (10,354,'1/14/2021',10,'13:1:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (11,129,'1/26/2021',11,'11:36:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (12,391,'2/10/2021',12,'01:4:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (13,323,'4/5/2021',13,'20:31:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (14,246,'4/13/2021',14,'04:52:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (15,368,'4/21/2021',15,'04:38:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (16,265,'6/23/2021',16,'05:29:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (17,167,'7/13/2021',17,'13:26:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (18,149,'8/3/2021',18,'17:59:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (19,183,'8/9/2021',19,'12:38:00');
INSERT INTO karta (karta_id, info_id, datum, kupac_id, vrijeme_polaska) VALUES (20,299,'9/28/2021',20,'10:23:00');
